company,drug_name,submission_type,submission_number,submission_status,submission_status_date,submission_class_code
ACTAVIS MID ATLANTIC,HYDROCODONE BITARTRATE AND HOMATROPINE METHYLBROMIDE,SUPPL,13,AP,19920619,MANUF (CMC)
ACTAVIS MID ATLANTIC,HYDROCODONE BITARTRATE AND HOMATROPINE METHYLBROMIDE,SUPPL,11,AP,19900928,MANUF (CMC)
ACTAVIS MID ATLANTIC,HYDROCODONE BITARTRATE AND HOMATROPINE METHYLBROMIDE,SUPPL,48,AP,20170113,LABELING
WATSON LABS INC,ERGOSTAT,SUPPL,12,AP,19910614,MANUF (CMC)
WATSON LABS INC,ERGOSTAT,SUPPL,8,AP,19890119,MANUF (CMC)
WATSON LABS INC,ERGOSTAT,SUPPL,10,AP,19880926,LABELING
WATSON LABS INC,ERGOSTAT,SUPPL,4,AP,19870709,MANUF (CMC)
WATSON LABS INC,ERGOSTAT,SUPPL,9,AP,19890119,MANUF (CMC)
WATSON LABS INC,ERGOSTAT,SUPPL,3,AP,19870709,MANUF (CMC)
VANGARD,SULFINPYRAZONE,SUPPL,3,AP,19880226,MANUF (CMC)
SUPERPHARM,CHLORDIAZEPOXIDE HYDROCHLORIDE,SUPPL,2,AP,19880615,LABELING
SUPERPHARM,CHLORDIAZEPOXIDE HYDROCHLORIDE,ORIG,1,AP,19850425,
PFIZER,PSORCON E,SUPPL,12,AP,19810505,MANUF (CMC)
PFIZER,PSORCON E,SUPPL,9,AP,19810218,LABELING
PFIZER,PSORCON E,SUPPL,7,AP,19790716,MANUF (CMC)
PFIZER,PSORCON E,SUPPL,5,AP,19790716,MANUF (CMC)
PFIZER,PSORCON E,SUPPL,3,AP,19791217,MANUF (CMC)
PFIZER,PSORCON E,SUPPL,1,AP,19790110,MANUF (CMC)
PFIZER,PSORCON E,SUPPL,19,AP,19880503,MANUF (CMC)
PFIZER,PSORCON E,SUPPL,17,AP,19840531,MANUF (CMC)
PFIZER,PSORCON E,SUPPL,15,AP,19831104,MANUF (CMC)
PFIZER,PSORCON E,SUPPL,21,AP,19990121,MANUF (CMC)
PFIZER,PSORCON E,SUPPL,13,AP,19820820,LABELING
PFIZER,PSORCON E,SUPPL,11,AP,19810625,LABELING
PFIZER,PSORCON E,SUPPL,8,AP,19810116,MANUF (CMC)
PFIZER,PSORCON E,SUPPL,6,AP,19790716,MANUF (CMC)
PFIZER,PSORCON E,SUPPL,4,AP,19790522,MANUF (CMC)
PFIZER,PSORCON E,SUPPL,2,AP,19781107,LABELING
PFIZER,PSORCON E,SUPPL,26,AP,20171025,LABELING
PFIZER,PSORCON E,SUPPL,18,AP,19860103,MANUF (CMC)
PFIZER,PSORCON E,ORIG,1,AP,19780301,TYPE 3
PFIZER,PSORCON E,SUPPL,16,AP,19840329,LABELING
PFIZER,PSORCON E,SUPPL,22,AP,20030530,LABELING
PFIZER,PSORCON E,SUPPL,14,AP,19820820,LABELING
PFIZER,PSORCON E,SUPPL,20,AP,19971010,MANUF (CMC)
IVAX SUB TEVA PHARMS,ISONIAZID,ORIG,1,AP,19740115,
MEDPOINTE PHARM HLC,NEOPASALATE,ORIG,1,AP,19750812,
ABBVIE,DEPAKENE,SUPPL,34,AP,20000620,MANUF (CMC)
ABBVIE,DEPAKENE,SUPPL,18,AP,19860811,LABELING
ABBVIE,DEPAKENE,SUPPL,32,AP,20000619,LABELING
ABBVIE,DEPAKENE,SUPPL,16,AP,19851204,LABELING
ABBVIE,DEPAKENE,SUPPL,30,AP,19980508,MANUF (CMC)
ABBVIE,DEPAKENE,SUPPL,69,AP,20190221,LABELING
ABBVIE,DEPAKENE,SUPPL,8,AP,19811209,LABELING
ABBVIE,DEPAKENE,SUPPL,14,AP,19831028,MANUF (CMC)
ABBVIE,DEPAKENE,SUPPL,67,AP,20171005,LABELING
ABBVIE,DEPAKENE,SUPPL,20,AP,19871202,MANUF (CMC)
ABBVIE,DEPAKENE,SUPPL,59,AP,20150107,LABELING
ABBVIE,DEPAKENE,SUPPL,12,AP,19820930,MANUF (CMC)
ABBVIE,DEPAKENE,SUPPL,65,AP,20161102,LABELING
ABBVIE,DEPAKENE,SUPPL,4,AP,19800616,MANUF (CMC)
ABBVIE,DEPAKENE,SUPPL,57,AP,20130614,LABELING
ABBVIE,DEPAKENE,SUPPL,71,AP,20200519,LABELING
ABBVIE,DEPAKENE,SUPPL,49,AP,20140619,LABELING
ABBVIE,DEPAKENE,SUPPL,63,AP,20150923,LABELING
ABBVIE,DEPAKENE,SUPPL,2,AP,19791220,MANUF (CMC)
ABBVIE,DEPAKENE,SUPPL,47,AP,20090423,LABELING
ABBVIE,DEPAKENE,SUPPL,61,AP,20140820,LABELING
ABBVIE,DEPAKENE,SUPPL,29,AP,20000516,LABELING
ABBVIE,DEPAKENE,SUPPL,35,AP,20001220,MANUF (CMC)
ABBVIE,DEPAKENE,SUPPL,33,AP,19991206,MANUF (CMC)
ABBVIE,DEPAKENE,SUPPL,25,AP,19950323,MANUF (CMC)
ABBVIE,DEPAKENE,SUPPL,17,AP,19860530,LABELING
ABBVIE,DEPAKENE,SUPPL,31,AP,19980922,MANUF (CMC)
ABBVIE,DEPAKENE,SUPPL,15,AP,19860530,LABELING
ABBVIE,DEPAKENE,SUPPL,68,AP,20180306,LABELING
ABBVIE,DEPAKENE,SUPPL,21,AP,19890321,MANUF (CMC)
ABBVIE,DEPAKENE,SUPPL,7,AP,19811104,LABELING
ABBVIE,DEPAKENE,SUPPL,66,AP,20170306,LABELING
ABBVIE,DEPAKENE,SUPPL,5,AP,19811209,LABELING
ABBVIE,DEPAKENE,SUPPL,58,AP,20141120,LABELING
ABBVIE,DEPAKENE,ORIG,1,AP,19780228,TYPE 1
ABBVIE,DEPAKENE,SUPPL,64,AP,20160218,LABELING
ABBVIE,DEPAKENE,SUPPL,3,AP,19791220,MANUF (CMC)
ABBVIE,DEPAKENE,SUPPL,56,AP,20130731,LABELING
ABBVIE,DEPAKENE,SUPPL,70,AP,20191122,LABELING
ABBVIE,DEPAKENE,SUPPL,48,AP,20111007,LABELING
ABBVIE,DEPAKENE,SUPPL,62,AP,20150313,LABELING
ABBVIE,DEPAKENE,SUPPL,1,AP,19790503,LABELING
ABBVIE,DEPAKENE,SUPPL,54,AP,20130227,LABELING
ABBVIE,DEPAKENE,SUPPL,46,AP,20111007,LABELING
ABBVIE,DEPAKENE,SUPPL,60,AP,20140609,LABELING
ABBVIE,DEPAKENE,SUPPL,38,AP,20021212,LABELING
ABBVIE,DEPAKENE,SUPPL,52,AP,20111007,LABELING
ABBVIE,DEPAKENE,SUPPL,44,AP,20061013,LABELING
ABBVIE,DEPAKENE,SUPPL,36,AP,20000620,MANUF (CMC)
ABBVIE,DEPAKENE,SUPPL,50,AP,20111007,LABELING
ABBVIE,DEPAKENE,SUPPL,28,AP,19961202,MANUF (CMC)
ABBVIE,DEPAKENE,SUPPL,42,AP,20060111,LABELING
HIKMA INTL PHARMS,ISOSORBIDE DINITRATE,SUPPL,38,AP,19970303,LABELING
HIKMA INTL PHARMS,ISOSORBIDE DINITRATE,SUPPL,36,AP,19921204,LABELING
HIKMA INTL PHARMS,ISOSORBIDE DINITRATE,SUPPL,9,AP,19820309,MANUF (CMC)
HIKMA INTL PHARMS,ISOSORBIDE DINITRATE,SUPPL,28,AP,19930616,MANUF (CMC)
HIKMA INTL PHARMS,ISOSORBIDE DINITRATE,SUPPL,42,AP,20010501,MANUF (CMC)
HIKMA INTL PHARMS,ISOSORBIDE DINITRATE,SUPPL,26,AP,19880824,MANUF (CMC)
HIKMA INTL PHARMS,ISOSORBIDE DINITRATE,SUPPL,40,AP,20010307,MANUF (CMC)
HIKMA INTL PHARMS,ISOSORBIDE DINITRATE,SUPPL,32,AP,19910213,MANUF (CMC)
HIKMA INTL PHARMS,ISOSORBIDE DINITRATE,SUPPL,24,AP,19880824,MANUF (CMC)
HIKMA INTL PHARMS,ISOSORBIDE DINITRATE,SUPPL,16,AP,19840810,MANUF (CMC)
HIKMA INTL PHARMS,ISOSORBIDE DINITRATE,SUPPL,30,AP,19930616,MANUF (CMC)
HIKMA INTL PHARMS,ISOSORBIDE DINITRATE,SUPPL,22,AP,19871102,MANUF (CMC)
HIKMA INTL PHARMS,ISOSORBIDE DINITRATE,SUPPL,20,AP,19870107,MANUF (CMC)
HIKMA INTL PHARMS,ISOSORBIDE DINITRATE,SUPPL,39,AP,19981001,MANUF (CMC)
HIKMA INTL PHARMS,ISOSORBIDE DINITRATE,ORIG,1,AP,19871102,
HIKMA INTL PHARMS,ISOSORBIDE DINITRATE,SUPPL,37,AP,19940302,LABELING
HIKMA INTL PHARMS,ISOSORBIDE DINITRATE,SUPPL,29,AP,19930616,LABELING
HIKMA INTL PHARMS,ISOSORBIDE DINITRATE,SUPPL,43,AP,20020701,LABELING
HIKMA INTL PHARMS,ISOSORBIDE DINITRATE,SUPPL,35,AP,19910327,LABELING
HIKMA INTL PHARMS,ISOSORBIDE DINITRATE,SUPPL,41,AP,20001031,LABELING
HIKMA INTL PHARMS,ISOSORBIDE DINITRATE,SUPPL,25,AP,19880824,MANUF (CMC)
HIKMA INTL PHARMS,ISOSORBIDE DINITRATE,SUPPL,31,AP,19930616,MANUF (CMC)
HIKMA INTL PHARMS,ISOSORBIDE DINITRATE,SUPPL,15,AP,19860527,MANUF (CMC)
HIKMA INTL PHARMS,ISOSORBIDE DINITRATE,SUPPL,21,AP,19871102,MANUF (CMC)
ABRAXIS PHARM,POTASSIUM CHLORIDE,SUPPL,4,AP,19841206,MANUF (CMC)
ABRAXIS PHARM,POTASSIUM CHLORIDE,SUPPL,2,AP,19831216,MANUF (CMC)
ABRAXIS PHARM,POTASSIUM CHLORIDE,SUPPL,5,AP,19870123,MANUF (CMC)
ABRAXIS PHARM,POTASSIUM CHLORIDE,SUPPL,3,AP,19840912,MANUF (CMC)
ABRAXIS PHARM,POTASSIUM CHLORIDE,SUPPL,1,AP,19820316,MANUF (CMC)
HOSPIRA,AMINOPHYLLINE,SUPPL,3,AP,19910409,LABELING
HOSPIRA,AMINOPHYLLINE,SUPPL,15,AP,19970224,MANUF (CMC)
HOSPIRA,AMINOPHYLLINE,SUPPL,13,AP,19961231,LABELING
HOSPIRA,AMINOPHYLLINE,SUPPL,11,AP,19931222,MANUF (CMC)
HOSPIRA,AMINOPHYLLINE,SUPPL,8,AP,19920305,MANUF (CMC)
HOSPIRA,AMINOPHYLLINE,SUPPL,6,AP,19920305,MANUF (CMC)
HOSPIRA,AMINOPHYLLINE,SUPPL,4,AP,19900507,LABELING
HOSPIRA,AMINOPHYLLINE,SUPPL,2,AP,19891227,LABELING
HOSPIRA,AMINOPHYLLINE,SUPPL,16,AP,19990730,MANUF (CMC)
HOSPIRA,AMINOPHYLLINE,SUPPL,14,AP,19961003,MANUF (CMC)
HOSPIRA,AMINOPHYLLINE,SUPPL,10,AP,19920828,MANUF (CMC)
HOSPIRA,AMINOPHYLLINE,ORIG,1,AP,19831026,
HOSPIRA,AMINOPHYLLINE,SUPPL,9,AP,19920305,MANUF (CMC)
HOSPIRA,AMINOPHYLLINE,SUPPL,7,AP,19920305,MANUF (CMC)
HOSPIRA,AMINOPHYLLINE,SUPPL,5,AP,19950201,LABELING
VANGARD,SPIRONOLACTONE W/ HYDROCHLOROTHIAZIDE,SUPPL,5,AP,19871007,MANUF (CMC)
VANGARD,SPIRONOLACTONE W/ HYDROCHLOROTHIAZIDE,ORIG,1,AP,19811214,
CHARTWELL RX,EFAVIRENZ; EMTRICITABINE AND TENOFOVIR DISOPROXIL FUMARATE,ORIG,1,AP,20231003,N/A
APOTEX,FENOFIBRATE (MICRONIZED),SUPPL,6,AP,20191209,LABELING
APOTEX,FENOFIBRATE (MICRONIZED),SUPPL,4,AP,20191209,LABELING
APOTEX,FENOFIBRATE (MICRONIZED),SUPPL,9,AP,20211116,LABELING
APOTEX,FENOFIBRATE (MICRONIZED),SUPPL,7,AP,20191209,LABELING
APOTEX,FENOFIBRATE (MICRONIZED),SUPPL,5,AP,20191209,LABELING
APOTEX,FENOFIBRATE (MICRONIZED),ORIG,1,AP,20130726,
BOEHRINGER INGELHEIM,ATROVENT,ORIG,1,AP,19861229,TYPE 1
BOEHRINGER INGELHEIM,ATROVENT,SUPPL,9,AP,19970115,MANUF (CMC)
BOEHRINGER INGELHEIM,ATROVENT,SUPPL,7,AP,19940225,LABELING
BOEHRINGER INGELHEIM,ATROVENT,SUPPL,5,AP,19920325,MANUF (CMC)
BOEHRINGER INGELHEIM,ATROVENT,SUPPL,19,AP,20000922,MANUF (CMC)
BOEHRINGER INGELHEIM,ATROVENT,SUPPL,3,AP,19960410,MANUF (CMC)
BOEHRINGER INGELHEIM,ATROVENT,SUPPL,17,AP,19981103,MANUF (CMC)
BOEHRINGER INGELHEIM,ATROVENT,SUPPL,1,AP,19880427,MANUF (CMC)
BOEHRINGER INGELHEIM,ATROVENT,SUPPL,15,AP,19971126,MANUF (CMC)
BOEHRINGER INGELHEIM,ATROVENT,SUPPL,21,AP,20090313,LABELING
BOEHRINGER INGELHEIM,ATROVENT,SUPPL,13,AP,19960129,LABELING
BOEHRINGER INGELHEIM,ATROVENT,SUPPL,11,AP,19940613,LABELING
BOEHRINGER INGELHEIM,ATROVENT,SUPPL,8,AP,19960610,MANUF (CMC)
BOEHRINGER INGELHEIM,ATROVENT,SUPPL,6,AP,19950104,MANUF (CMC)
BOEHRINGER INGELHEIM,ATROVENT,SUPPL,4,AP,19890316,LABELING
BOEHRINGER INGELHEIM,ATROVENT,SUPPL,18,AP,19990818,MANUF (CMC)
BOEHRINGER INGELHEIM,ATROVENT,SUPPL,2,AP,19880421,MANUF (CMC)
BOEHRINGER INGELHEIM,ATROVENT,SUPPL,16,AP,20090313,LABELING
BOEHRINGER INGELHEIM,ATROVENT,SUPPL,14,AP,19961203,LABELING
BOEHRINGER INGELHEIM,ATROVENT,SUPPL,20,AP,20010827,MANUF (CMC)
BOEHRINGER INGELHEIM,ATROVENT,SUPPL,12,AP,19940131,MANUF (CMC)
BOEHRINGER INGELHEIM,ATROVENT,SUPPL,10,AP,19940519,MANUF (CMC)
LUPIN LTD,LAMIVUDINE AND ZIDOVUDINE,ORIG,1,AP,20120515,
LUPIN LTD,LAMIVUDINE AND ZIDOVUDINE,SUPPL,10,AP,20190723,LABELING
LUPIN LTD,LAMIVUDINE AND ZIDOVUDINE,SUPPL,9,AP,20190723,LABELING
LUPIN LTD,LAMIVUDINE AND ZIDOVUDINE,SUPPL,5,AP,20160929,LABELING
LUPIN LTD,LAMIVUDINE AND ZIDOVUDINE,SUPPL,8,AP,20190723,LABELING
PADDOCK LLC,POLYETHYLENE GLYCOL 3350,ORIG,1,AP,20091015,
ABBOTT,LIDOCAINE HYDROCHLORIDE,ORIG,1,AP,19880525,
ACS DOBFAR SPA,AMPICILLIN SODIUM,SUPPL,2,AP,20190403,LABELING
ACS DOBFAR SPA,AMPICILLIN SODIUM,ORIG,1,AP,20130403,
ACS DOBFAR SPA,AMPICILLIN SODIUM,SUPPL,3,AP,20240501,LABELING
ACS DOBFAR SPA,AMPICILLIN SODIUM,SUPPL,1,AP,20190403,LABELING
CHARTWELL MOLECULAR,ACETAMINOPHEN AND CODEINE PHOSPHATE,SUPPL,20,AP,20231215,LABELING
CHARTWELL MOLECULAR,ACETAMINOPHEN AND CODEINE PHOSPHATE,SUPPL,12,AP,20170829,LABELING
CHARTWELL MOLECULAR,ACETAMINOPHEN AND CODEINE PHOSPHATE,SUPPL,10,AP,20161216,LABELING
CHARTWELL MOLECULAR,ACETAMINOPHEN AND CODEINE PHOSPHATE,ORIG,1,AP,20111110,
CHARTWELL MOLECULAR,ACETAMINOPHEN AND CODEINE PHOSPHATE,SUPPL,9,AP,20161216,LABELING
CHARTWELL MOLECULAR,ACETAMINOPHEN AND CODEINE PHOSPHATE,SUPPL,7,AP,20131018,LABELING
CHARTWELL MOLECULAR,ACETAMINOPHEN AND CODEINE PHOSPHATE,SUPPL,5,AP,20130627,LABELING
CHARTWELL MOLECULAR,ACETAMINOPHEN AND CODEINE PHOSPHATE,SUPPL,19,AP,20210304,LABELING
CHARTWELL MOLECULAR,ACETAMINOPHEN AND CODEINE PHOSPHATE,SUPPL,17,AP,20191007,LABELING
CHARTWELL MOLECULAR,ACETAMINOPHEN AND CODEINE PHOSPHATE,SUPPL,15,AP,20180918,REMS
CHARTWELL MOLECULAR,ACETAMINOPHEN AND CODEINE PHOSPHATE,SUPPL,13,AP,20180221,LABELING
CHARTWELL MOLECULAR,ACETAMINOPHEN AND CODEINE PHOSPHATE,SUPPL,11,AP,20170829,LABELING
CHARTWELL MOLECULAR,ACETAMINOPHEN AND CODEINE PHOSPHATE,SUPPL,8,AP,20161216,LABELING
CHARTWELL MOLECULAR,ACETAMINOPHEN AND CODEINE PHOSPHATE,SUPPL,4,AP,20130627,LABELING
CHARTWELL MOLECULAR,ACETAMINOPHEN AND CODEINE PHOSPHATE,SUPPL,16,AP,20180921,LABELING
CHARTWELL MOLECULAR,ACETAMINOPHEN AND CODEINE PHOSPHATE,SUPPL,14,AP,20180221,LABELING
GLENMARK PHARMS LTD,TROSPIUM CHLORIDE,SUPPL,8,AP,20131231,LABELING
GLENMARK PHARMS LTD,TROSPIUM CHLORIDE,SUPPL,7,AP,20130731,LABELING
GLENMARK PHARMS LTD,TROSPIUM CHLORIDE,SUPPL,5,AP,20121130,LABELING
GLENMARK PHARMS LTD,TROSPIUM CHLORIDE,ORIG,1,AP,20100813,
GLENMARK PHARMS LTD,TROSPIUM CHLORIDE,SUPPL,11,AP,20250404,LABELING
GLENMARK PHARMS LTD,TROSPIUM CHLORIDE,SUPPL,3,AP,20120531,LABELING
GLENMARK PHARMS LTD,TROSPIUM CHLORIDE,SUPPL,1,AP,20110331,LABELING
WATSON LABS INC,ARMODAFINIL,SUPPL,1,AP,20170125,LABELING
WATSON LABS INC,ARMODAFINIL,ORIG,2,TA,20120829,N/A
WATSON LABS INC,ARMODAFINIL,ORIG,1,AP,20120829,N/A
RUBICON,METOPROLOL TARTRATE,SUPPL,14,AP,20190503,LABELING
RUBICON,METOPROLOL TARTRATE,SUPPL,7,AP,20161130,LABELING
RUBICON,METOPROLOL TARTRATE,SUPPL,48,AP,20250522,LABELING
RUBICON,METOPROLOL TARTRATE,ORIG,1,AP,20141028,N/A
NORVIUM BIOSCIENCE,EMTRICITABINE AND TENOFOVIR DISOPROXIL FUMARATE,SUPPL,7,AP,20240916,LABELING
NORVIUM BIOSCIENCE,EMTRICITABINE AND TENOFOVIR DISOPROXIL FUMARATE,SUPPL,3,AP,20190701,REMS
NORVIUM BIOSCIENCE,EMTRICITABINE AND TENOFOVIR DISOPROXIL FUMARATE,SUPPL,1,AP,20180724,REMS
NORVIUM BIOSCIENCE,EMTRICITABINE AND TENOFOVIR DISOPROXIL FUMARATE,SUPPL,8,AP,20240916,LABELING
NORVIUM BIOSCIENCE,EMTRICITABINE AND TENOFOVIR DISOPROXIL FUMARATE,SUPPL,4,AP,20240916,LABELING
NORVIUM BIOSCIENCE,EMTRICITABINE AND TENOFOVIR DISOPROXIL FUMARATE,SUPPL,2,AP,20240916,LABELING
NORVIUM BIOSCIENCE,EMTRICITABINE AND TENOFOVIR DISOPROXIL FUMARATE,ORIG,1,AP,20180409,UNKNOWN
AUROBINDO PHARMA,LO SIMPESSE,ORIG,1,AP,20170428,UNKNOWN
AUROBINDO PHARMA,LO SIMPESSE,SUPPL,3,AP,20250620,LABELING
UMEDICA,CHLORTHALIDONE,ORIG,1,AP,20180524,UNKNOWN
UMEDICA,CHLORTHALIDONE,SUPPL,13,AP,20221018,MANUF (CMC)
JUBILANT GENERICS,SILDENAFIL CITRATE,ORIG,1,AP,20250306,UNKNOWN
ICU MEDICAL INC,SODIUM CHLORIDE 0.9% IN PLASTIC CONTAINER,SUPPL,6,AP,19990401,MANUF (CMC)
ICU MEDICAL INC,SODIUM CHLORIDE 0.9% IN PLASTIC CONTAINER,SUPPL,4,AP,19981118,MANUF (CMC)
ICU MEDICAL INC,SODIUM CHLORIDE 0.9% IN PLASTIC CONTAINER,SUPPL,2,AP,19940325,MANUF (CMC)
ICU MEDICAL INC,SODIUM CHLORIDE 0.9% IN PLASTIC CONTAINER,SUPPL,5,AP,19990122,MANUF (CMC)
ICU MEDICAL INC,SODIUM CHLORIDE 0.9% IN PLASTIC CONTAINER,SUPPL,3,AP,20031205,LABELING
ICU MEDICAL INC,SODIUM CHLORIDE 0.9% IN PLASTIC CONTAINER,ORIG,1,AP,19840713,TYPE 5
